階層	プリセット/名/グループ名	leaf_type (葉の種類)	genus (属)	species (学名)	species:ja (日本語名)	species:en (英語名)	species:ko(韓国語名)	taxon (分類名)	sex (雌雄)	leaf_cycle (葉の季節変化)	Wikidata ID	韓国語名
-	オリーブ	broadleaved (広葉樹)	Olea	Olea europaea	オリーブ	Olive	올리브나무	Olea europaea	no	evergreen (常緑樹)	Q37083	올리브나무
-	ユリノキ	broadleaved (広葉樹)	Liriodendron	Liriodendron tulipifera	ユリノキ	American tulip tree	튤립나무	Liriodendron tulipifera	no	deciduous (落葉樹)	Q158783	튤립나무
-	ニセアカシア	broadleaved (広葉樹)	Robinia	Robinia pseudoacacia	ニセアカシア	Black locust	아까시나무	Robinia pseudoacacia	no	deciduous (落葉樹)	Q157417	아까시나무
-	エンジュ	broadleaved (広葉樹)	Styphnolobium	Styphnolobium japonicum	エンジュ	Japanese Pagoda Tree	회화나무	Styphnolobium japonicum	no	deciduous (落葉樹)	Q288558	회화나무
-	ヤマモモ	broadleaved (広葉樹)	Morella	Morella rubra	ヤマモモ	Myrica rubra	소귀나무	Morella rubra	no	evergreen (常緑樹)	Q311617	소귀나무
-	フジ	broadleaved (広葉樹)	Wisteria	Wisteria floribunda	フジ	Japanese wisteria	등나무	Wisteria floribunda	no	deciduous (落葉樹)	Q1329209	등나무
-	ビワ	broadleaved (広葉樹)	Eriobotrya	Eriobotrya japonica	ビワ	Loquat	비파나무	Eriobotrya japonica	no	evergreen (常緑樹)	Q41505	비파나무
-	ツバキ	broadleaved (広葉樹)	Camellia	Camellia japonica	ツバキ	Japanese camellia	동백나무	Camellia japonica	no	evergreen (常緑樹)	Q160121	동백나무
-	サザンカ	broadleaved (広葉樹)	Camellia	Camellia sasanqua	サザンカ	Sasanqua	애기동백나무	Camellia sasanqua	no	evergreen (常緑樹)	Q2590046	애기동백나무
-	ザクロ	broadleaved (広葉樹)	Punica	Punica granatum	ザクロ	Pomegranate	석류나무	Punica granatum	no	deciduous (落葉樹)	Q13188	석류나무
-	ツツジ	broadleaved (広葉樹)	Rhododendron		ツツジ	Azalea	진달래		no		Q189393	진달래
-	アジサイ	broadleaved (広葉樹)	Hydrangea	Hydrangea macrophylla	アジサイ	French hydrangea	수국	Hydrangea macrophylla	no	deciduous (落葉樹)	Q159219	수국
-	ムクゲ	broadleaved (広葉樹)	Hibiscus	Hibiscus syriacus	ムクゲ	Rose of Sharon	무궁화	Hibiscus syriacus	no	deciduous (落葉樹)	Q157756	무궁화
-	コノテガシワ	needleleaved (針葉樹)	Platycladus	Platycladus orientalis	コノテガシワ	Chinese Arborvitae	측백나무	Platycladus orientalis	no	evergreen (常緑樹)	Q33482	측백나무
-	カナリーヤシ (フェニックス)		Phoenix	Phoenix canariensis	カナリーヤシ		카나리야자	Phoenix canariensis	no	evergreen (常緑樹)	Q27657	카나리야자
